Title,Url,Date-Scraped,Date-Posted,Company,Location,applicant-num,Employment-type,Job-Function,Industries,Description
Machine Learning Engineer,https://au.linkedin.com/jobs/view/machine-learning-engineer-at-correlate-resources-3406697659?refId=eFAMJ1tM0FH316U55q%2FXcg%3D%3D&trackingId=1tCK8NcUKtoN0ORmQ0Zk3Q%3D%3D&position=9&pageNum=10&trk=public_jobs_jserp-result_search-card,2023-01-08 17:01:26.812871 MDT,2023-01-08,"
                Correlate Resources
              ","
              Sydney, New South Wales, Australia
            ","
            Be among the first 25 applicants
          ","
          Full-time
        ","
            Engineering and Information Technology
          ","
          Staffing and Recruiting
          ","
        Join a fantastic team within a challenging environment, having access to cutting edge technology and continue career development and growth.Our client is an exciting Australasia market leader. Due to the ongoing success of the team brand new positions have been created for Mid & Senior Machine Learning Engineers to join their team.ROLEMachine Learning and ML Ops best practice on terabytes of data. Working as part of the ML Development team and closely collaborating with Data Scientists. Be prepared to build Cloud based cutting edge ML platforms, pipelines and experiment with Big Data and ML tech available on the market.ResponsibilitiesYour responsibilities as a Senior Machine Learning Engineer will include:Design and implementation of Big Data and Machine Learning platforms, pipelines and tooling Pioneering new tech and approaches to improve time to market, reliability and performance of Data Science productsStakeholder management across different disciplines SKILLSThe skills and experience you need for this Senior Machine Learning Engineer role:Solid Data Engineering foundationsHands-on exposure with Kubernetes (Argo/Kubeflow)Experience in building and running Docker imagesCloud (GCP/AWS/Azure) commercial experienceGood ML Ops, SRE or DevOps experienceHands-on with LinuxFamiliarity with Javascript / Typescript, React or similar Front End libraries BENEFITSOffering unparalleled opportunities for career development and growth.SALARYUp to $1,000 incl superHow To ApplyPlease click on the 'Apply' button below or email your resume to shay@correlateresources.com
      "
Python Developer,https://in.linkedin.com/jobs/view/python-developer-at-frnd-3423286513?refId=eFAMJ1tM0FH316U55q%2FXcg%3D%3D&trackingId=AJycYVgKNjK6dzoun35kQg%3D%3D&position=10&pageNum=10&trk=public_jobs_jserp-result_search-card,2023-01-08 17:01:31.523476 MDT,2023-01-08,"
                FRND
              ","
              Bengaluru, Karnataka, India
            ","
            Over 200 applicants
          ","
          Full-time
        ","
            Engineering and Information Technology
          ","
          Online Audio and Video Media
          ","
Responsibilities:Lead the end-to-end development for various product items from initial requirements through QA and monitoring.Load testing, Scaling & Auto scalingCraft clean, manageable and production grade code.Think of time-efficient implementation to make things work.Design and develop real-time, resilient and high availability systems.Continuously improve backend architecture to make system robust and scalable.DB design and optimized querying for high performance read/write/search.Contributing to internal discussions on technologies, products, and processes.Requirements:Experience with Django / backend MVP frameworkDesire to build a product and create impact on the daily lives of people.Excellent analytical and problem-solving skillsStrong debugging skills to ensure fastest response time.Zeal to learn and implement new technologies as fast as possible.Understand the value of rapid iteration and retrospection for engineering processes.Familiarity with DevOps is a big plus.WebSocket and real time communication knowledge is a plus.What we offer:High pace of learningOpportunity to build systems from scratchHigh autonomy and ownershipA great and ambitious team to work withOur stack primarily consists of:Django as backend.Android as frontend.Servers on Amazon Web ServicesWhat are we looking for?High ownershipStrongly data-drivenExecution-bias / HustleHigh creativity quotientFast decision makingUser empathyWhy FRND? Product first mindset➕ Unique problem statementLargest market of the next billion users 🌏 (India, Latin America, Middle East)Competitive Pay-scale + Equity 👉🏻 You grow as FRND 📈Faster Learning than Market 🏆Work with the best colleagues from backgrounds like Paytm, Toppr, Rivigo, Deutsche Bank and IIT 🙌🏻High-pedigree investors - PUBG Korea, India Quotient, SAIF PartnersAbout FRND🚀 FRND is an audio dating app for Bharat ❤️FRND is funded by Krafton, India Quotient and Elevation CapitalDating in Bharat is broken. People do not have the right avenues to interact and begin their dating journeys, especially in tier-2, 3 IndiaFRND provides a safe, secure and fun environment for boys and girls to chat anonymously via audio streamingWe are working on exciting growth and user activation problem statements, alongside revenue products like virtual giftingWe are looking for high-growth individuals with first principles thinking to join our core user acquisition team for the next billion internet users
"
Entry Level Data Scientist,https://www.linkedin.com/jobs/view/entry-level-data-scientist-at-synergisticit-3415226765?refId=eFAMJ1tM0FH316U55q%2FXcg%3D%3D&trackingId=Ey1Bs%2BcFtm%2Bvc5DWlx%2F1LA%3D%3D&position=11&pageNum=10&trk=public_jobs_jserp-result_search-card,2023-01-08 17:01:42.375609 MDT,2023-01-08,"
                SynergisticIT
              ","
              Austin, TX
            ","
            Be among the first 25 applicants
          ","
          Full-time
        ","
            Information Technology
          ","
          IT Services and IT Consulting
          ","
About UsSynergistic IT is a full-service staffing and placement firm servicing client in America for the past 12+ years. We are dedicated towards fulfilling the IT needs of our clients. From staffing to full implementation of projects we provide the highest quality IT Services. We Intend to deliver exceptional student outcome. We don't just help you secure a tech job but build a solid career in technology.Job DescriptionGood understanding of the below modelsIdentify valuable data sources and automate collection processesUndertake preprocessing of structured and unstructured dataAnalyze large amounts of information to Client trends and patternsClassifier, Random Forest Classifier, Nave Bayes, Support Vector MachineMachine Learning Algorithms - Linear Regression, Logistic Regression, Decision Tree Unsupervised/Clustering algorithmsNLP models, Deep Learning models for image classification  Desired Candidate ProfileSkills RequiredHands on experience Python scriptingHands on experience in building Machine Learning and Artificial Intelligence modelsGood knowledge on Exploratory Data Analysis (EDA)Hands on experience on platforms - Microsoft Azure/Amazon Web ServicesLibraries – Numpy, Pands, Scikit learn, Seaborn, Plotly, TensorFLow, Should be able to do data visualisation using Tableau or Excel.Excellent English communication (both oral and written) and reading comprehension skills.Strong analytical and problem-solving skills, with clear attention to detail. Education Requirement: -Bachelors, Masters in Computer Science/ Computer Engineering/ Information Systems/Information Technology/ Electrical Engineering/ Mechanical Engineering.BenefitsOn Job Technical supportE- verifiedHelp to get H1B Employer.Full time position Candidate who are missing the required skills, might be provided an option to enhance their skills, so that they can also apply for the role and can make a career in IT industry.If you do respond via e-mail, please include a daytime phone number so that we can reach you. In considering candidates, time is of the essence, so please respond ASAP. Thank you
      "
Cientista de Dados,https://br.linkedin.com/jobs/view/cientista-de-dados-at-radartec-3422295864?refId=eFAMJ1tM0FH316U55q%2FXcg%3D%3D&trackingId=nJ%2B%2FRqXy8cKiBtCN9V2nsQ%3D%3D&position=12&pageNum=10&trk=public_jobs_jserp-result_search-card,2023-01-08 17:01:47.307459 MDT,2023-01-08,"
                Radartec
              ","
              Barueri, São Paulo, Brazil
            ","
          72 applicants
        ","
          Full-time
        ","
            Engineering and Information Technology
          ","
          IT Services and IT Consulting
          ","
        Sobre a empresa A Assesso é líder no segmento de Qualidade e Governança de Dados, possui certificação do MIT e uma ferramenta própria chamada Datacare, que faz a gestão de dados dos nossos clientes. A nossa missão é ajudar o cliente a obter as informações assertivas e exatas, incluindo o enriquecimento com dados, estudos de probabilidades e tendências que eles possam necessitar. Para mais detalhes, acesse: assesso.com.brDia a dia: ˗Realizar pesquisas, encontra insights e propõe soluções de Data Science/ Machine Learning, de acordo com a necessidade do cliente ˗Participa de discussões e desenvolvimento de PoCs (Provas de Conceito ˗Interação com o time de desenvolvedores para a integração de modelos de Machine Learning com o DataCare.Requisitos: ˗Experiência em ferramentas de Machine Learning ˗Experiência na manipulação e extração informações de repositórios de dados estruturados e não-estruturados ˗Experiência em análise exploratória (capacidade de analisar um dataset e apresentar hipóteses) ˗Experiência na utilização de bibliotecas de Machine Learning em Python ˗Experiência em técnicas de modelagem preditiva e descritiva ˗Conhecimentos de estatística ˗Conhecimento em bancos de dados diversos: Bancos de dados SQL e NoSQL ˗Experiência no uso de bibliotecas Open source para análise, exploração e uso de modelos preditivos ˗Experiência no uso de ferramentas em plataformas clouds (Google, Azure e AWS)O que oferecemos: Remuneração: a combinar + Gympass, parceria com workplace de seguros e descanso remunerado anual Tipo de Contrato: PJ Modelo de trabalho: híbrido (Barueri/SP)
      "
Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-synergisticit-3415230546?refId=eFAMJ1tM0FH316U55q%2FXcg%3D%3D&trackingId=%2FpTdFIqE0iRDgDHZ0rMlHQ%3D%3D&position=13&pageNum=10&trk=public_jobs_jserp-result_search-card,2023-01-08 17:01:52.343639 MDT,2023-01-08,"
                SynergisticIT
              ","
              Pasadena, CA
            ","
            Be among the first 25 applicants
          ","
          Full-time
        ","
            Engineering and Information Technology
          ","
          IT Services and IT Consulting
          ","
About UsSynergistic IT is a full-service staffing and placement firm servicing client in America for the past 12+ years. We are dedicated towards fulfilling the IT needs of our clients. From staffing to full implementation of projects we provide the highest quality IT Services. We don't just help you secure a Tech Job, but we build your solid career in technology.Technical SkillsJob descriptionPython, Model Training/Testing Primary ResponsibilitiesWorking on the awesome AI product for document information extraction.Build the next-generation information extraction product powered by state-of-the-art AI and Deep Learning techniques.Work with an international top-notch engineering team with full commitment on Machine Learning development.Skills RequiredRequired Candidate profilePassionate about search amp; AI technologies. Open to collaborating with colleague's amp; external contributors.Good understanding about the mainstream deep learning models from multiple domains: computer vision, NLP, reinforcement learning, model optimization etc.Skilled in the following programming languages: Python 3.Good English skills especially for writing and reading documentationEducation RequirementBachelors, Masters in Computer Science/ Computer Engineering/ Information Systems/Information Technology/ Electrical Engineering/ Mechanical Engineering.Benefit's Of Working With Our ClientsE-Verified.Filing of H1b and Green Card.Long Term PositionsOn Job Technical Support.Candidate who are missing the required skills, might be provided an option to enhance their skills, so that they can also apply for the role and can make a career in IT industry.If you do respond via e-mail, please include a daytime phone number so that we can reach you. In considering candidates, time is of the essence, so please respond ASAP. Thank you
      "
Data Scientist,https://in.linkedin.com/jobs/view/data-scientist-at-blenheim-chalcot-it-services-india-pvt-ltd-3412106323?refId=eFAMJ1tM0FH316U55q%2FXcg%3D%3D&trackingId=J0pep7an9Fzkp2mZE3FHxw%3D%3D&position=14&pageNum=10&trk=public_jobs_jserp-result_search-card,2023-01-08 17:01:57.105232 MDT,2023-01-08,"
                Blenheim Chalcot IT Services India Pvt Ltd
              ","
              Mumbai, Maharashtra, India
            ","
            Over 200 applicants
          ","
          Full-time
        ","
            Engineering and Information Technology
          ","
          Venture Capital and Private Equity Principals
          ","
The ideal candidate's favorite words are learning, data, scale, and agility. You will leverage your strong collaboration skills and ability to extract valuable insights from highly complex data sets to ask the right questions and find the right answers.  ResponsibilitiesAnalyze raw data: assessing quality, cleansing, structuring for downstream processingDesign accurate and scalable prediction algorithmsCollaborate with engineering team to bring analytical prototypes to productionGenerate actionable insights for business improvementsQualificationsBachelor's degree or equivalent experience in quantitively field (Statistics, Mathematics, Computer Science, Engineering, etc.)At least 1 - 2 years' of experience in quantitative analytics or data modelingDeep understanding of predictive modeling, machine-learning, clustering and classification techniques, and algorithmsFluency in a programming language (Python, C,C++, Java, SQL)Familiarity with Big Data frameworks and visualization tools (Cassandra, Hadoop, Spark, Tableau)
"
Machine Learning Researcher,https://www.linkedin.com/jobs/view/machine-learning-researcher-at-mobica-3395183337?refId=eFAMJ1tM0FH316U55q%2FXcg%3D%3D&trackingId=uoBw7SERL4giXIifjNyTJQ%3D%3D&position=15&pageNum=10&trk=public_jobs_jserp-result_search-card,2023-01-08 17:02:02.493470 MDT,2023-01-08,"
                Mobica
              ","
              Oregon, United States
            ","
            Over 200 applicants
          ","
          Full-time
        ","
            Engineering
          ","
          Technology, Information and Internet
          ","
Job DescriptionFor our client, a Big Tech Silicon Valley technology company, we are looking for a Machine Learning Researcher to join our ML R&D team.This is an exciting opportunity to shape the future and work with top talent on innovative cross-functional (ML, UX, HW) projects. You'll impact the entire development process, from sparking fresh ideas to final production.Initiatives on this exciting project span fundamental and applied research (product oriented) and focus on the area of ambient computing and HCI as well as custom HW (IoT, wearable devices), embedded and unconstrained cloud models, gesture and presence detection, and many others.As an expert, you will lead all required processes from designing experiments, defining data collection requirements, data analysis and pre-processing, training models, optimizing, debugging and deploying the models to production.QualificationsMandatory skillsMaster in Machine Learning or a related fieldProficient programming skills in Python and one of the deep learning toolkits: Keras, Tensorflow, or PyTorchGood knowledge of C+++3 years of experience conducting novel research and working in a commercial R&D lab.Nice To Have SkillsPh.D. in Machine Learning or a related fieldPublication track record in academic journals and conferencesLead research projects, iterate fast through various hypotheses - perform literature reviews, design & plan experiments, define requirements for data, and execute experimentsStrong communication skills and the ability to work in a collaborative environment.Ability to work independently in an agile environmentOther Mandatory Requirements Or LimitationsMeetings - usually twice a week in PST timezone.A glance at chat and emails in the evening hours.Additional InformationMobica | Be Extraordinary_We are Mobica, a global software services company headquartered in Manchester, UK, with offices across Europe and the USA. We partner with businesses across multiple industries, from aerospace to finance and semiconductors to automotive, providing them with access to engineering expertise across the entire technology stack.Mobica WayWell-known Clients and Projects focused on the Technologies of Tomorrow - Our expertly crafted software underpins many of today’s amazing customer experiences. We work with well-known global brands to develop widely used tech. When you join us, you'll be both challenged and supported, and you'll be a part of something extraordinary.Empowered Mobicans driving their Careers - We empower our people to develop their skills, push boundaries and move towards new heights. As a Mobican, you’ll have ample opportunities to advance, learn and grow towards your desired career outcomes.Ideas are prioritized over Hierarchy and Biases - In Mobica, you are listened to and valued. We’ve built an environment that fosters open communication. We've made it our mission to ensure all team members feel welcome, protected from discrimination and have access to equal opportunities. We believe that employees should be happy - At Mobica, you can define precisely how you would like to work - at home or in the office - we will create the environment for that. You’ll get access to various virtual, offline and on-site events and platforms where you can learn, brainstorm, challenge, express yourself or simply have some fun and make new friends. Oh, and please help yourself to some delicious fruits and snacks in the office at any time.What can you expect from us?We Learn by doing; you will collaborate with industry experts willing to share their knowledge, passion, and experience.We invest in improving your skills by participating in training and mentoring programs.You can advance your career with us by choosing from different career paths (technical, management).We’ll help to broaden your horizons by working in an open and supportive multicultural environment.Commercial projects from the domain.Great atmosphere and supportive environment.You will work in a friendly, relaxed atmosphere created by many bonding events and activities.What do we offer?Competitive salary adequate to your skills and performance.Flexible working hours.Training programs.Private medical insurance.Multisport program.English lessons.Company social events.Relocation assistance.Diversity and Inclusion StatementWe aim to recruit, develop and retain the most talented people we can find, from a range of backgrounds and cultures. Inclusivity and equality are cornerstones of our Mobica community and a big part of what makes us so brilliant to work with. Here, dedication and performance are valued and rewarded regardless of nationality, gender, age, religious beliefs or other personal characteristics. Here, diversity is celebrated and everyone belongs.“The benefits of having a diverse workforce from different backgrounds, recruited and developed only on the basis of ability, is a core personal belief for me - so I join with other members of Mobica’s leadership in promoting a commitment to recognise equal opportunities and rights for our talented individuals. Every Mobican can expect to be treated with dignity and respect regardless of personal characteristics or beliefs.”Samuel KingstonCEOMobica | Be Extraordinary_Join the visionaries - Be Extraordinary
      "
Junior Machine Learning Scientist (f/m/d),https://de.linkedin.com/jobs/view/junior-machine-learning-scientist-f-m-d-at-kineo-ai-3416325076?refId=eFAMJ1tM0FH316U55q%2FXcg%3D%3D&trackingId=9U2cZPbyHebNcPpNn%2FZGrQ%3D%3D&position=16&pageNum=10&trk=public_jobs_jserp-result_search-card,2023-01-08 17:02:07.421836 MDT,2023-01-08,"
                kineo.ai
              ","
              Berlin, Berlin, Germany
            ","
          61 applicants
        ","
          Full-time
        ","
            Other
          ","
          Software Development
          ","
        We are Kineo, a Berlin-based tech startup developing machine learning solutions that bring real, tangible business value to our clients. Through our expertise, mindset, culture and most importantly with your help we are turning the AI landscape upside down. Are you up for the challenge?Our proposition to youWe vouch to create a space where you can explore different sets of complex problems and data across industries and verticals. To support you in your personal development, everyone at Kineo has a mentor. When you grow, so does Kineo. Your decisions matter! You will not have a boss who decides things for you. At Kineo we believe that decisions are best made locally, by the people closest to the problem at hand. Transparent salary and career planning from day one. A beautiful office in the centre of Kreuzberg, with tons of benefits, such as free drinks, snacks, consoles etc. Flexible, family-friendly work environment - we have parents in the team and support them. Success in the role means that you will haveAfter 2 months: You established yourself as a member of the team and have already contributed to one of our client projects. You have a clear understanding of how we work and can independently navigate our technical architecture. After 6 months: You are a key member of the team and fully involved in the development of a client project. You will have made notable contributions to our codebase and internal processes. After 12-24 months: In collaboration with internal science and engineering resources, you lead the development of a client-facing application from the workshop phase to production. You are a trusted expert in a wide variety of machine learning algorithms and you are able to transfer that knowledge to more junior members of the team. Your Character TraitsStrong inner drive to get things done: you’re not waiting for others to manage or tell you what to do. You are self-driven and you like to work autonomously. You hate boxes: You don’t stop when your thing is done, and you don’t point to the other side. Instead, you are eager to learn and support in areas that may not be your core expertise. Quality ambassador: you combine an obsession with quality with a highly pragmatic prioritisation of tasks to maximize your project throughput. Exceptional communicator: you have excellent communication, presentation and interpersonal skills that enable you to quickly establish an emotional bond. You fit in with our team culture if youEnjoy working in an environment that combines pragmatic, commercial thinking with a strong desire to learn and grow together. We value team players, not data ninjas. Have a highly ambitious, curious and driven mindset while being able to convey humility and respect for different opinions. Feel like a global citizen with a strong passion for openness and diversity. See open feedback, accountability and independent thinking as the foundation for exceptional (team) work. TasksYou will work as part of smaller teams of 2-3 people on developing machine learning solutions with our clients. You will conceptualize and implement algorithmic solutions to challenging business problems. This includes prototyping and productionizing of machine learning solutions, and also defining and analysing product use cases together with the customer. You will own machine learning solutions from the first drop of raw data, all the way into production serving millions of inference requests. RequirementsAn advanced quantitative degree - e.g Mathematics, Statistics, Computer Science or related fields. Strong knowledge of theoretical math and CS. Knowledge of working with large structured and unstructured data sets. Knowledge of data engineering tools like Apache Spark is an advantage. Strong programming skills in Python. We love other languages too, but Python is what we (and you) will use. Experience in using a wide range of ML frameworks such as SKLearn, Tensorflow, Torch in production. Experience with domain specific libraries like OpenCV, HuggingFace etc are an advantage. Excellent written and verbal communication, with the ability to work cross-functionally with non-scientific experts. Last but not least, keep in mind that we are hiring value based, not skill based. That being said, please tell us the following in your contact message:Why we would love to work with youWhy you want to work with us
"
Machine Learning Engineer,https://uk.linkedin.com/jobs/view/machine-learning-engineer-at-stepstone-3397931494?refId=eFAMJ1tM0FH316U55q%2FXcg%3D%3D&trackingId=iEX0JwLmkihd9lPu8MLUuA%3D%3D&position=17&pageNum=10&trk=public_jobs_jserp-result_search-card,2023-01-08 17:02:12.355466 MDT,2023-01-08,"
                StepStone
              ","
              Southwark, England, United Kingdom
            ","
          200 applicants
        ","
          Full-time
        ","
            Information Technology
          ","
          Technology, Information and Internet
          ","
StepStone is one of the most successful online recruiting marketplaces in the world with operations in more than 20 countries, with its core markets being UK, Germany and US.We operate through our strong regional brands; in the UK it's the Totaljobs Group and one of our most innovative products is Mya - conversational AI platform.The Mya team is on a mission to open up a world of job possibilities for all. Our team is creative, collaborative, and passionate. Because our teams operate cross-functionally, ideas and solutions can come from anyone. The people at Mya are friendly, genuine, humble, and team-oriented, creating an autonomous yet accountable environment. Everyone is mission-oriented with a drive to create and deliver products that provide a best-in-class candidate and recruiter experience. If you are passionate about good technology, impacting organizations' revenue directly and bringing innovation to an established industry, join our team and be a part of this exciting journey!Job DescriptionCollaborate with a talented team of engineers, data scientists, and product managers to take projects from design through launch and iteration.Building and Testing Machine Learning models for integration into customer facing applications.Build scalable models that interact with millions of users on a daily basis.Qualifications3-5 years commercial experience as a Machine Learning Engineer Developed, tested, evaluated, and tuned ML Models based on user dataDone data preparation and cleansingExperience with git and version control, pull requests, CI/CD (continuous integration/continuous deployment), and code editors such as VSCode, Sublime Text or PycharmExperience with Scikit-learn, Tensorflow, Keras, PyTorch, SageMaker or similar technologiesBenefits and Rewards - Some of the ways we recognise our employees hard work and talent:Holiday - We feel work-life balance is important, so we offer every single one of our employees 29 days holiday a year, plus public holidays. Everyone also has the option to buy or sell up to three days each year in our Holiday Flex scheme. Family Leave - At TJG we understand that laying the foundations for a smooth start to family leave will also make for an easier transition back to the workplace and subject to qualifying criteria, the benefits under the Company Family schemes are more generous than required under current legislation.Pension Scheme - To help our people plan for their future we offer a competitive pension scheme.Eye Tests - Every employee receives a voucher which entitles them for a free eye test every year. Long Service - To recognise long- service and commitment to Totaljobs Group we celebrate our employees' loyalty by giving them additional time off and/ or vouchers after certain milestones. Medical Insurance - All employees are eligible to apply for private medical insurance cover which also includes a digital GP service. Charity - Each Totaljobs Group employee receives x2 additional days off every year to volunteer to charitable causes. We also give our employees the chance to 'give as they earn' meaning they can donate tax-free to a registered charity, and Totaljobs Group will match their contribution up to a value of £10 per month. For more information about Totaljobs Group benefits please look at the Totaljobs Group career site. Totaljobs Group are an equal opportunity employer and value diversity at our company. We do not discriminate based on race, religion, colour, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.When you apply for a role with us you will be asked to complete an equal opportunities questionnaire. If you have any questions about this, please feel free to reach out to one of the team.
"
Data Scientist - Operations Research,https://www.linkedin.com/jobs/view/data-scientist-operations-research-at-united-airlines-3407282583?refId=eFAMJ1tM0FH316U55q%2FXcg%3D%3D&trackingId=5qW3jvtjgL8zHS3%2B022JUQ%3D%3D&position=18&pageNum=10&trk=public_jobs_jserp-result_search-card,2023-01-08 17:02:17.074614 MDT,2023-01-08,"
                United Airlines
              ","
              Chicago, IL
            ","
          196 applicants
        ","
          Full-time
        ","
            Engineering and Information Technology
          ","
          Airlines and Aviation
          ","
DescriptionThere’s never been a more exciting time to join United Airlines. We’re on a path towards becoming the best airline in the history of aviation. Our shared purpose – Connecting People, Uniting the World – is about more than getting people from one place to another. It also means that as a global company that operates in hundreds of locations around the world with millions of customers and tens of thousands of employees, we have a unique responsibility to uplift and provide opportunities in the places where we work, live and fly, and we can only do that with a truly diverse and inclusive workforce. And we’re growing – in the years ahead, we’ll hire tens of thousands of people across every area of the airline. Our careers include a competitive benefits package aimed at keeping you happy, healthy and well-traveled. From employee-run ""Business Resource Group"" communities to world-class benefits like parental leave, 401k and privileges like space available travel, United is truly a one-of-a-kind place to work. Are you ready to travel the world?We believe that inclusion propels innovation and is the foundation of all that we do. United's Digital Technology team spans the globe and is made up of diverse individuals all working together with cutting-edge technology to build the best airline in the history of aviation. Our team designs, develops and maintains massively scaling technology solutions brought to life with innovative architectures, data analytics, and digital solutions.Job Overview And ResponsibilitiesProvides mathematical modeling and analysis services to support critical financial, operational, and/or strategic planning decisions and engages in supporting project teams in beneficial activities that generate practical solutions to complex business problems, explores new business alternatives, and drives improvement in business decisions.Develops the approach and methods to define and solve management problems through quantitative analysis and analytical models using operations research, machine learning, and structured programming languagesIdentifies, researches, or solves large complex problems using big data and operations research and machine learning principlesDemonstrates understanding of the business process to identify and implement operations research solutions that will result in significant bottom-line contributionsBuilds and develops operations research/optimization mathematical model applications, and provides client support using operations research knowledgeParticipates in model design, prototype, and model development for several efforts that occur simultaneously, and collaborates with product delivery groupsRaises concerns when the scope of analysis may not align with time available and can choose an appropriate scope of analysis to conduct balancing ROI to time availableUnited values diverse experiences, perspectives, and we encourage everyone who meets the minimum qualifications to apply. While having the “desired” qualifications make for a stronger candidate, we encourage applicants who may not feel they check ALL of those boxes! We are always looking for individuals who will bring something new to the table!QualificationsWhat’s needed to succeed (Minimum Qualifications):Master's degreeOperations Research or other related quantitative discipline involving quantitative analysis and application of advanced operations research principlesCoursework or work experience with mathematical programming techniquesCoursework or work experience in model prototyping through use of optimization toolkit(s) including CPLEX, AMPL, or OPLCoursework or work experience with C, C++, Java, R, Python, or other structured programming languageProficient with MS OfficeMust be legally authorized to work in the United States for any employer without sponsorshipWhat will help you propel from the pack (Preferred Qualifications):Minor in computer science and/or formal advanced computer science coursework1+ years of professional experience in analytical field1+ years designing and programming/coding data structures for large-scale computer modelsExperience with Julia programming languageUnited Airlines is an equal opportunity employer. United Airlines recruits, employs, trains, compensates and promotes regardless of race, religion, color, national origin, gender identity, sexual orientation, physical ability, age, veteran status and other protected status as required by applicable law. We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform crucial job functions. Please contact JobAccommodations@united.com to request accommodation.Equal Opportunity Employer - Minorities/Women/Veterans/Disabled/LGBT WHQ00021049
"
Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-synergisticit-3415235001?refId=eFAMJ1tM0FH316U55q%2FXcg%3D%3D&trackingId=lQbJW6mr1TkHxMwbrtI3%2BQ%3D%3D&position=19&pageNum=10&trk=public_jobs_jserp-result_search-card,2023-01-08 17:02:26.394038 MDT,2023-01-08,"
                SynergisticIT
              ","
              New Orleans, LA
            ","
            Be among the first 25 applicants
          ","
          Contract
        ","
            Engineering and Information Technology
          ","
          IT Services and IT Consulting
          ","
About UsSynergistic IT is a full-service staffing and placement firm servicing client in America for the past 12+ years. We are dedicated towards fulfilling the IT needs of our clients. From staffing to full implementation of projects we provide the highest quality IT Services. We don't just help you secure a Tech Job, but we build your solid career in technology.Technical Skills  Job description   Python, Model Training/Testing   Primary Responsibilities:  Working on the awesome AI product for document information extraction.  Build the next-generation information extraction product powered by state-of-the-art AI and Deep Learning techniques.  Work with an international top-notch engineering team with full commitment on Machine Learning development. Skills Required  Required Candidate profile   Passionate about search amp; AI technologies. Open to collaborating with colleague's amp; external contributors.  Good understanding about the mainstream deep learning models from multiple domains: computer vision, NLP, reinforcement learning, model optimization etc.  Skilled in the following programming languages: Python 3.  Good English skills especially for writing and reading documentation Education RequirementBachelors, Masters in Computer Science/ Computer Engineering/ Information Systems/Information Technology/ Electrical Engineering/ Mechanical Engineering.Benefit's Of Working With Our Clients E-Verified.  Help to get H1b Employer  Long Term Positions  On Job Technical Support. Candidate who are missing the required skills, might be provided an option to enhance their skills, so that they can also apply for the role and can make a career in IT industry.If you do respond via e-mail, please include a daytime phone number so that we can reach you. In considering candidates, time is of the essence, so please respond ASAP. Thank you
      "
Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-synergisticit-3415229752?refId=eFAMJ1tM0FH316U55q%2FXcg%3D%3D&trackingId=5xDJIKRfO9rfMV1zTyg6RQ%3D%3D&position=20&pageNum=10&trk=public_jobs_jserp-result_search-card,2023-01-08 17:02:31.027415 MDT,2023-01-08,"
                SynergisticIT
              ","
              Louisville, KY
            ","
            Be among the first 25 applicants
          ","
          Contract
        ","
            Engineering and Information Technology
          ","
          IT Services and IT Consulting
          ","
About UsSynergistic IT is a full-service staffing and placement firm servicing client in America for the past 12+ years. We are dedicated towards fulfilling the IT needs of our clients. From staffing to full implementation of projects we provide the highest quality IT Services. We don't just help you secure a Tech Job, but we build your solid career in technology.Technical SkillsJob descriptionPython, Model Training/Testing Primary ResponsibilitiesWorking on the awesome AI product for document information extraction.Build the next-generation information extraction product powered by state-of-the-art AI and Deep Learning techniques.Work with an international top-notch engineering team with full commitment on Machine Learning development.Skills RequiredRequired Candidate profilePassionate about search amp; AI technologies. Open to collaborating with colleague's amp; external contributors.Good understanding about the mainstream deep learning models from multiple domains: computer vision, NLP, reinforcement learning, model optimization etc.Skilled in the following programming languages: Python 3.Good English skills especially for writing and reading documentationEducation RequirementBachelors, Masters in Computer Science/ Computer Engineering/ Information Systems/Information Technology/ Electrical Engineering/ Mechanical Engineering.Benefit's Of Working With Our ClientsE-Verified.Help to get H1b EmployerLong Term PositionsOn Job Technical Support.Candidate who are missing the required skills, might be provided an option to enhance their skills, so that they can also apply for the role and can make a career in IT industry.If you do respond via e-mail, please include a daytime phone number so that we can reach you. In considering candidates, time is of the essence, so please respond ASAP. Thank you
      "
